Date,SYD_actual,SYD_predicted,CWN_actual,CWN_predicted,ASX_actual,ASX_predicted,UBER_actual,UBER_predicted,CSL_actual,CSL_predicted
2020-06-29,5.49,5.975076,9.37,9.586379,83.980003,82.62091,29.51,29.522121,291.5,295.9879
2020-06-30,5.57,5.846117,9.36,9.407481,85.379997,82.326935,30.83,29.649717,293.600006,296.8736
2020-07-01,5.66,5.7687335,9.63,9.339629,85.510002,82.289696,30.959999,29.723888,287.5,297.5026
2020-07-02,5.83,5.759756,9.88,9.494772,86.809998,82.43555,31.02,29.771692,286.0,297.33823
2020-07-03,5.81,5.823401,9.92,9.730562,87.25,82.79626,,,291.589996,296.3279
2020-07-06,5.74,5.904055,9.64,9.853763,87.440002,83.24103,33.099998,29.819763,297.98999,295.34933
2020-07-07,5.64,5.946102,9.47,9.716531,87.550003,83.64009,32.459998999999996,29.913673,291.77999900000003,295.45303
2020-07-08,5.5,5.9276056,9.0,9.530979,85.730003,83.93714,33.209998999999996,30.069984,287.25,296.13458
2020-07-09,5.47,5.8514915,9.04,9.164887,85.91999799999999,83.8992,34.240002000000004,30.29083,279.0,296.50092
2020-07-10,5.34,5.75751,8.98,9.031088,84.599998,83.71215,33.139998999999996,30.573034,280.040009,295.5123
2020-07-13,5.38,5.656677,9.16,8.96827,85.889999,83.35617,33.209998999999996,30.87658,284.97000099999997,293.4196
2020-07-14,5.4,5.581577,9.02,9.067633,83.699997,83.15801,31.35,31.150866,280.0,291.33118
2020-07-15,5.41,5.545052,9.18,9.0411,84.559998,82.84833,32.099998,31.320381,281.399994,289.46738
2020-07-16,5.57,5.539666,9.13,9.117156,85.290001,82.618004,32.049999,31.348904,289.0,288.15695
2020-07-17,5.45,5.579299,9.13,9.122853,84.279999,82.594406,32.580002,31.235231,282.0,288.183
2020-07-20,5.45,5.6126437,9.07,9.118509,84.400002,82.55583,32.48,31.013617,283.899994,288.78894
2020-07-21,5.4,5.6230335,9.01,9.077212,84.519997,82.4923,34.16,30.728304,286.0,289.56552
2020-07-22,5.56,5.606449,9.44,9.020495,85.559998,82.43427,32.439999,30.447226,290.0,290.3914
2020-07-23,5.48,5.6081896,9.17,9.257479,84.0,82.52264,32.330002,30.194813,282.799988,291.48297
2020-07-24,5.5,5.611806,9.14,9.214787,83.5,82.46957,31.74,29.976421,279.72000099999997,292.04065
2020-07-27,5.4,5.614196,9.0,9.157877,83.110001,82.24588,31.209999,29.782536,276.799988,291.57132
2020-07-28,5.47,5.5956373,9.06,9.043189,83.599998,81.92035,30.790001,29.598713,278.589996,289.9945
2020-07-29,5.36,5.5792904,8.98,9.027079,83.32,81.67955,30.92,29.414562,271.670013,287.95718
2020-07-30,5.34,5.5517745,9.05,8.982488,83.910004,81.51364,30.65,29.234228,271.839996,285.45737
2020-07-31,5.3,5.517259,8.96,9.006361,84.25,81.48942,30.4,29.067266,271.5,282.90317
2020-08-03,5.0698,5.4800653,8.8,8.968605,82.5,81.58838,30.24,28.92399,270.0,280.704
2020-08-04,5.13804,5.408841,8.97,8.853029,84.730003,81.48141,31.17,28.813013,282.77999900000003,279.00836
2020-08-05,5.1088,5.3394365,9.17,8.897606,84.790001,81.543785,33.099998,28.753736,279.0,279.04492
2020-08-06,5.02105,5.2878237,9.26,9.050485,83.769997,81.733444,33.27,28.784134,276.5,280.44757
2020-08-07,5.12829,5.2430043,9.26,9.1790695,82.849998,81.79791,33.09,28.925283,276.98999,282.19467
2020-08-10,5.23554,5.225433,9.3,9.228646,83.889999,81.62831,33.040001000000004,29.167881,276.76001,283.5827
2020-08-11,5.25504,5.249287,9.26,9.261653,84.16999799999999,81.50204,31.66,29.478247,278.820007,284.27142
2020-08-12,5.25504,5.295959,9.44,9.245296,84.139999,81.502304,31.459999,29.789045,281.880005,284.46268
2020-08-13,5.25504,5.3391714,9.49,9.342525,84.970001,81.571846,30.52,30.035522,281.730011,284.65164
2020-08-14,5.39,5.3650312,9.51,9.4204035,84.699997,81.76466,30.4,30.16374,276.0,285.00137
2020-08-17,5.28,5.397805,9.36,9.463137,84.75,81.949425,30.049999,30.153214,280.0,284.9543
2020-08-18,5.36,5.4117064,9.46,9.383845,84.769997,82.0833,29.5,30.0137,283.209991,284.78052
2020-08-19,5.39,5.4207926,9.33,9.401367,86.400002,82.165085,30.15,29.773232,305.100006,284.95514
2020-08-20,5.3,5.4343815,9.74,9.335345,87.08000200000001,82.425575,29.129998999999998,29.48353,305.0,287.6233
2020-08-21,5.22,5.4323764,9.51,9.557985,90.0,82.84157,31.389999,29.18454,298.019989,292.60104
2020-08-24,5.35,5.4039655,9.7,9.524188,88.360001,83.6225,30.969998999999998,28.93768,289.5,297.7294
2020-08-25,5.44,5.3896775,9.61,9.6109,89.110001,84.22451,31.040001,28.78161,294.72000099999997,300.70502
2020-08-26,5.36,5.4117303,9.56,9.592073,89.0,84.66834,31.01,28.730032,288.200012,301.62988
2020-08-27,5.43,5.4375873,9.38,9.546119,89.33000200000001,84.95258,32.400002,28.774792,292.23999,300.53943
2020-08-28,5.6,5.4656935,9.18,9.4134035,89.389999,85.166046,33.0,28.911428,292.51001,298.61185
2020-08-31,5.6,5.522227,9.15,9.232411,89.110001,85.34161,33.619999,29.131268,289.200012,296.80637
2020-09-01,5.63,5.5870743,8.98,9.139552,86.739998,85.45667,33.450001,29.419254,285.0,295.38535
2020-09-02,5.67,5.6429543,9.04,9.010554,87.91999799999999,85.25962,34.209998999999996,29.742397,282.0,294.1168
2020-09-03,5.79,5.6869893,9.15,8.9959955,90.720001,85.07476,34.080002,30.069063,293.5,292.7355
2020-09-04,5.8,5.7394814,9.19,9.068808,88.550003,85.32144,33.330002,30.36141,285.0,292.3836
2020-09-07,5.8,5.7908754,9.03,9.132764,84.029999,85.52131,,,285.0,292.4651
2020-09-08,5.61,5.8284087,9.24,9.062563,84.83000200000001,85.079,32.360001000000004,30.571371,285.0,292.58124
2020-09-09,5.5,5.8109407,9.15,9.146309,82.379997,84.41468,34.110001000000004,30.64877,280.519989,292.53464
2020-09-10,5.52,5.7435393,9.27,9.136968,83.309998,83.516846,35.200001,30.601978,285.119995,291.89148
2020-09-11,5.44,5.672925,9.1,9.199758,82.470001,82.771126,36.299999,30.479,280.27999900000003,291.1524
2020-09-14,5.49,5.6108212,9.06,9.127513,83.33000200000001,82.18633,37.099998,30.345339,285.25,290.1769
2020-09-15,5.5,5.57833,9.14,9.062787,82.610001,81.88712,37.950001,30.258503,285.0,289.5321
2020-09-16,5.48,5.5751796,9.16,9.08428,82.620003,81.685135,37.389998999999996,30.258211,289.01001,289.38025
2020-09-17,5.5,5.5842805,9.24,9.114492,82.300003,81.51235,36.68,30.338846,290.059998,290.01184
2020-09-18,5.52,5.5982666,9.16,9.178007,81.82,81.30499,37.150002,30.4547,286.559998,291.3138
2020-09-21,5.43,5.6143303,9.18,9.158092,80.589996,81.018684,35.860001000000004,30.563675,284.799988,292.5421
2020-09-22,5.38,5.609948,9.14,9.153898,80.970001,80.548454,36.529999,30.61096,282.0,293.1223
2020-09-23,5.55,5.5818553,9.08,9.127419,83.0,80.09029,34.450001,30.578047,289.51001,292.72318
2020-09-24,5.75,5.578988,9.08,9.078772,83.870003,80.0281,33.66,30.43745,292.309998,292.2655
2020-09-25,5.75,5.6386833,9.11,9.057059,84.739998,80.340576,33.200001,30.180904,298.140015,292.4476
2020-09-28,5.77,5.724042,9.13,9.06922,84.5,80.868744,,,299.25,293.87842
